name,omega1_1,phi1_1,d_1,r1_1,translate_x_1,translate_y_1,translate_z_1,rotate_phi_1,rotate_theta_1,rotate_psi_1,length_1,rmsd_1,omega1_2,phi1_2,d_2,r1_2,translate_x_2,translate_y_2,translate_z_2,rotate_phi_2,rotate_theta_2,rotate_psi_2,length_2,rmsd_2
loop_24534,1.75,2.07,1.51,2.26,-0.09,0.12,-9.08,0.03,0.03,0.00,16.00,0.25,1.75,-2.86,1.51,2.26,9.51,5.25,-9.38,3.00,-0.47,-2.58,17.00,0.16
loop_24535,1.75,2.06,1.51,2.26,0.08,0.08,-9.18,0.01,-0.02,-0.00,16.00,0.31,1.75,1.27,1.51,2.26,6.44,-11.13,-17.02,-2.17,-0.21,0.40,17.00,0.12
loop_24536,1.75,2.11,1.51,2.26,0.20,-0.13,-9.06,-0.05,-0.06,0.00,16.00,0.42,1.75,0.56,1.51,2.26,0.03,-12.75,-15.09,-2.33,0.26,-0.60,17.00,0.24
loop_24537,1.75,2.14,1.51,2.26,0.04,0.10,-9.07,0.02,-0.00,-0.00,16.00,0.19,1.75,2.08,1.51,2.26,13.94,-2.60,-17.20,-2.19,-0.95,1.57,17.00,0.09
loop_24538,1.75,2.07,1.51,2.26,0.08,0.10,-9.09,0.02,-0.02,-0.00,16.00,0.22,1.75,-9.00,1.51,2.26,10.67,3.21,-8.71,3.10,-0.41,-2.95,17.00,0.23
loop_24539,1.75,2.10,1.51,2.26,-0.03,0.19,-9.14,0.05,0.02,0.00,16.00,0.39,1.75,2.18,1.51,2.26,8.87,4.63,-10.61,-3.08,-0.51,2.89,17.00,0.11
loop_2454,1.75,2.12,1.51,2.26,0.03,0.08,-9.04,0.02,-0.01,-0.00,17.00,0.15,1.75,-2.58,1.51,2.26,12.72,-2.14,-6.80,3.13,-0.54,-3.10,17.00,0.26
loop_24540,1.75,2.11,1.51,2.26,0.24,0.08,-9.14,-0.00,-0.05,0.00,16.00,0.39,1.75,1.70,1.51,2.26,12.49,-6.92,-14.82,-2.36,-0.60,1.29,17.00,0.07
loop_24541,1.75,2.11,1.51,2.26,0.08,-0.03,-9.07,-0.01,-0.01,0.00,16.00,0.13,1.75,-2.30,1.51,2.26,10.76,6.89,-9.85,2.83,-0.51,-2.05,17.00,0.21
loop_24542,1.75,2.11,1.51,2.26,0.06,0.08,-9.07,0.02,-0.01,-0.00,16.00,0.15,1.75,-2.00,1.51,2.26,9.38,6.20,-8.70,2.93,-0.37,-2.11,17.00,0.19
loop_24543,1.75,2.10,1.51,2.26,0.03,0.01,-9.05,0.00,-0.01,-0.00,16.00,0.06,1.75,-0.24,1.51,2.26,10.75,-1.65,-7.39,-3.12,-0.16,2.90,14.00,0.05
loop_24544,1.75,2.12,1.51,2.26,0.03,0.21,-9.06,0.06,0.00,0.00,16.00,0.34,1.75,2.91,1.51,2.26,9.86,5.04,-8.30,-3.12,-0.52,3.05,17.00,0.22
loop_24545,1.75,2.10,1.51,2.26,0.13,0.03,-9.07,-0.00,-0.03,0.00,16.00,0.20,1.75,9.11,1.51,2.26,14.92,-0.01,-10.95,-3.13,-0.73,3.11,17.00,0.64
loop_24546,1.75,2.09,1.51,2.26,0.01,0.05,-9.07,0.01,0.00,0.00,16.00,0.09,1.75,2.33,1.51,2.26,13.58,-3.49,-15.76,-2.42,-0.83,1.72,17.00,0.19
loop_24547,1.75,2.11,1.51,2.26,0.15,-0.13,-9.09,-0.03,-0.04,0.00,16.00,0.27,1.75,1.58,1.51,2.26,11.85,-7.57,-15.17,-2.32,-0.57,1.18,17.00,0.17
loop_24548,1.75,2.10,1.51,2.26,0.10,-0.06,-9.06,-0.02,-0.02,0.00,16.00,0.16,1.75,2.48,1.51,2.26,15.32,-0.24,-12.01,-3.01,-0.91,2.87,17.00,0.36
loop_24549,1.75,2.12,1.51,2.26,-0.03,0.16,-9.08,0.04,0.02,0.00,16.00,0.29,1.75,2.62,1.51,2.26,11.30,4.46,-10.24,-3.00,-0.72,2.78,17.00,0.33
loop_2455,1.75,2.11,1.51,2.26,0.13,-0.02,-9.06,-0.02,-0.03,0.00,16.00,0.22,1.75,1.71,1.51,2.26,3.32,10.00,-8.08,2.62,0.53,1.58,17.00,0.19
loop_24550,1.75,2.06,1.51,2.26,-0.01,0.03,-9.08,0.01,0.01,0.00,16.00,0.15,1.75,-2.12,1.51,2.26,12.47,5.00,-11.75,2.80,-0.69,-2.25,17.00,0.13
loop_24551,1.75,2.15,1.51,2.26,0.06,0.01,-9.05,0.00,-0.01,-0.00,16.00,0.20,1.75,1.97,1.51,2.26,12.85,-4.39,-18.11,-2.10,-0.85,1.34,17.00,0.10
loop_24552,1.75,2.06,1.51,2.26,0.04,0.11,-9.24,0.01,-0.01,-0.00,16.00,0.37,1.75,1.07,1.51,2.26,0.40,-12.59,-17.00,-2.22,0.10,-0.21,17.00,0.14
loop_24553,1.75,2.08,1.51,2.26,0.07,-0.07,-9.12,-0.02,-0.02,0.00,16.00,0.20,1.75,-1.94,1.51,2.26,9.12,6.79,-8.17,2.84,-0.35,-1.70,17.00,0.14
loop_24554,1.75,2.10,1.51,2.26,-0.01,0.03,-9.07,0.01,0.00,0.00,16.00,0.06,1.75,-2.92,1.51,2.26,14.07,3.95,-11.76,2.79,-0.71,-2.26,17.00,0.59
loop_24555,1.75,2.12,1.51,2.26,0.07,-0.01,-9.06,-0.01,-0.01,0.00,16.00,0.13,1.75,-1.69,1.51,2.26,10.12,8.58,-10.53,2.53,-0.48,-1.31,17.00,0.18
loop_24556,1.75,2.09,1.51,2.26,0.01,0.06,-9.05,0.01,0.00,0.00,16.00,0.07,1.75,-2.26,1.51,2.26,12.42,4.75,-11.02,2.67,-0.53,-1.70,17.00,0.65
loop_24557,1.75,2.11,1.51,2.26,0.05,0.04,-9.06,0.01,-0.01,-0.00,16.00,0.11,1.75,-3.02,1.51,2.26,12.49,3.36,-10.68,-3.09,-0.71,3.01,17.00,0.33
loop_24558,1.75,2.07,1.51,2.26,0.00,0.05,-9.12,0.01,-0.00,-0.00,16.00,0.13,1.75,-2.06,1.51,2.26,9.90,6.25,-9.09,2.80,-0.44,-1.84,17.00,0.13
loop_24559,1.75,2.10,1.51,2.26,0.01,0.00,-9.05,0.00,-0.00,-0.00,16.00,0.03,1.75,-0.76,1.51,2.26,11.50,-1.53,-7.69,-3.08,-0.22,2.57,14.00,0.02
loop_2456,1.75,2.10,1.51,2.26,0.02,0.04,-9.06,0.01,-0.00,-0.00,16.00,0.07,1.75,1.07,1.51,2.26,4.58,11.97,-4.03,2.62,0.16,0.59,17.00,0.11
loop_24560,1.75,2.09,1.51,2.26,0.27,-0.07,-9.06,-0.04,-0.05,0.00,16.00,0.44,1.75,1.96,1.51,2.26,11.44,-4.92,-10.95,-2.70,-0.41,1.51,17.00,0.15
loop_24561,1.75,2.06,1.51,2.26,-0.10,0.25,-9.10,0.07,0.04,0.00,16.00,0.52,1.75,-2.22,1.51,2.26,10.89,-1.96,-9.59,-2.75,-0.26,1.17,14.00,0.03
loop_24562,1.75,2.09,1.51,2.26,0.07,0.05,-9.07,0.01,-0.01,-0.00,16.00,0.12,1.75,1.97,1.51,2.26,11.78,-3.71,-12.55,-2.60,-0.59,1.66,17.00,0.19
loop_24563,1.75,2.14,1.51,2.26,0.41,-0.15,-9.04,-0.07,-0.01,0.00,16.00,0.77,1.75,1.02,1.51,2.26,8.87,-9.42,-11.83,-2.47,-0.16,0.45,17.00,0.12
loop_24564,1.75,2.06,1.51,2.26,0.14,-0.10,-9.10,-0.04,-0.03,0.00,16.00,0.35,1.75,2.47,1.51,2.26,11.30,-6.30,-12.78,-2.72,-0.57,1.87,17.00,0.09
loop_24565,1.75,2.13,1.51,2.26,0.02,0.08,-9.06,0.02,0.00,0.00,16.00,0.16,1.75,-2.96,1.51,2.26,14.61,3.63,-14.17,-3.11,-1.06,3.09,17.00,0.24
loop_24566,1.75,2.12,1.51,2.26,0.16,-0.07,-9.03,-0.03,-0.03,0.00,16.00,0.26,1.75,1.10,1.51,2.26,7.47,-9.70,-14.90,-2.28,-0.20,0.44,17.00,0.39
loop_24567,1.75,2.11,1.51,2.26,0.15,0.05,-9.09,-0.00,-0.03,0.00,16.00,0.23,1.75,-2.61,1.51,2.26,10.56,4.44,-8.35,3.03,-0.44,-2.67,17.00,0.14
loop_24568,1.75,2.10,1.51,2.26,0.02,0.22,-9.11,0.06,0.00,0.00,16.00,0.34,1.75,-2.98,1.51,2.26,9.99,6.50,-8.36,3.02,-0.53,-2.70,17.00,0.09
loop_24569,1.75,2.09,1.51,2.26,0.17,-0.02,-9.09,-0.02,-0.04,0.00,16.00,0.28,1.75,1.90,1.51,2.26,11.22,-3.36,-11.05,-2.77,-0.48,1.84,17.00,0.20
loop_2457,1.75,2.07,1.51,2.26,-0.16,0.09,-9.08,0.03,0.04,0.00,16.00,0.30,1.75,2.51,1.51,2.26,-7.18,12.74,-11.09,2.02,1.11,1.56,17.00,0.16
loop_24570,1.75,2.16,1.51,2.26,0.05,-0.02,-9.04,-0.00,-0.01,0.00,16.00,0.24,1.75,-1.39,1.51,2.26,7.71,10.90,-12.53,2.41,-0.31,-0.78,17.00,0.15
loop_24571,1.75,2.08,1.51,2.26,-0.04,0.05,-9.06,0.02,0.01,0.00,16.00,0.14,1.75,2.62,1.51,2.26,14.46,-0.89,-14.93,-2.73,-1.02,2.43,17.00,0.09
loop_24572,1.75,2.05,1.51,2.26,0.16,0.00,-9.19,-0.03,-0.04,0.00,16.00,0.47,1.75,0.90,1.51,2.26,7.13,-10.99,-12.92,-2.24,-0.08,0.16,17.00,0.15
